id,judul,link,harga,lokasi,image_url,image_path,kamar_tidur,kamar_mandi,parkir,luas_bangunan,luas_tanah,waktu_update
47,Dijual Rumah Baru 2 Lantai Di Gambiran Umbulharjo Yogyakarta,https://www.rumah123.com/properti/yogyakarta/hos17932372/,750.0,"Rumah123 adalah platform properti terbesar dan tepercaya di Indonesia. Kami berkomitmen untuk menjaga kepercayaan para pencari properti dengan hanya menayangkan iklan yang kredibel dan terpercaya. Oleh karena itu, setiap Project perlu melalui proses verifikasi. Ajak Developer untuk memverifikasi Project ini bersama tim Rumah123",https://picture.rumah123.com/r123-images/720x420-crop/customer/1925801/229163c8a611b3c3eef9e06d322c462b.jpg,property_images\property_47.jpg,3.0,2.0,1.0,,,2024-11-08 08:25:14.703711
48,Rumah Siap Huni Warungboto Jogja Kota Umbulharjo Yogyakarta Shm,https://www.rumah123.com/properti/yogyakarta/hos18276157/,875.0,"Rumah123 adalah platform properti terbesar dan tepercaya di Indonesia. Kami berkomitmen untuk menjaga kepercayaan para pencari properti dengan hanya menayangkan iklan yang kredibel dan terpercaya. Oleh karena itu, setiap Project perlu melalui proses verifikasi. Ajak Developer untuk memverifikasi Project ini bersama tim Rumah123",https://picture.rumah123.com/r123-images/720x420-crop/customer/1927716/2024-02-01-02-26-27-0ad4450e-31d7-4fca-811d-2d0efc89bc74.jpg,property_images\property_48.jpg,3.0,1.0,,,,2024-11-08 08:25:15.093931
49,Rumah Sorosutan Shm Dijual Jogja Kota Umbulharjo Yogyakarta,https://www.rumah123.com/properti/yogyakarta/hos17566371/,1000.0,"Rumah123 adalah platform properti terbesar dan tepercaya di Indonesia. Kami berkomitmen untuk menjaga kepercayaan para pencari properti dengan hanya menayangkan iklan yang kredibel dan terpercaya. Oleh karena itu, setiap Project perlu melalui proses verifikasi. Ajak Developer untuk memverifikasi Project ini bersama tim Rumah123",https://picture.rumah123.com/r123-images/720x420-crop/customer/1925801/2024-07-11-04-11-46-1d3820cf-f0bc-41ec-9961-56d5b0cca804.jpg,property_images\property_49.jpg,6.0,3.0,1.0,,,2024-11-08 08:25:15.677449
50,Rumah Baru Siap Huni SHM Sambego Jalan Tajem Maguwoharjo Depok,https://www.rumah123.com/properti/yogyakarta/hos16176158/,690.0,"Rumah123 adalah platform properti terbesar dan tepercaya di Indonesia. Kami berkomitmen untuk menjaga kepercayaan para pencari properti dengan hanya menayangkan iklan yang kredibel dan terpercaya. Oleh karena itu, setiap Project perlu melalui proses verifikasi. Ajak Developer untuk memverifikasi Project ini bersama tim Rumah123",https://picture.rumah123.com/r123-images/720x420-crop/customer/1925801/2024-01-26-03-24-34-49cf9338-ebf7-4b67-9dce-9ddd1ff33bdc.jpg,property_images\property_50.jpg,3.0,2.0,,,,2024-11-08 08:25:17.211415
51,2 Unit Rumah Baru Siap Huni Cantik Limasan Dalam Perumahan Dekat Terminal Giwangan,https://www.rumah123.com/properti/yogyakarta/hos18320711/,475.0,"Rumah123 adalah platform properti terbesar dan tepercaya di Indonesia. Kami berkomitmen untuk menjaga kepercayaan para pencari properti dengan hanya menayangkan iklan yang kredibel dan terpercaya. Oleh karena itu, setiap Project perlu melalui proses verifikasi. Ajak Developer untuk memverifikasi Project ini bersama tim Rumah123",https://picture.rumah123.com/r123-images/720x420-crop/customer/1630475/575dc434bbce46aa978df712998fee44.jpg,property_images\property_51.jpg,2.0,1.0,1.0,,,2024-11-07 23:25:28.718769
52,Rumah Mewah Etnik Joglo Jawa Maguwoharjo Depok Sleman Yogyakarta,https://www.rumah123.com/properti/yogyakarta/hos18557729/,2000.0,"Rumah123 adalah platform properti terbesar dan tepercaya di Indonesia. Kami berkomitmen untuk menjaga kepercayaan para pencari properti dengan hanya menayangkan iklan yang kredibel dan terpercaya. Oleh karena itu, setiap Project perlu melalui proses verifikasi. Ajak Developer untuk memverifikasi Project ini bersama tim Rumah123",https://picture.rumah123.com/r123-images/720x420-crop/customer/1927716/3ea82a7ce6dfdc6775582d6214c614bd.jpg,property_images\property_52.jpg,3.0,2.0,,,,2024-11-07 17:25:32.599118
53,DIJUAL RUMAH COCOK UNTUK USAHA,https://www.rumah123.com/properti/yogyakarta/hos17792286/,2000.0,"Rumah123 adalah platform properti terbesar dan tepercaya di Indonesia. Kami berkomitmen untuk menjaga kepercayaan para pencari properti dengan hanya menayangkan iklan yang kredibel dan terpercaya. Oleh karena itu, setiap Project perlu melalui proses verifikasi. Ajak Developer untuk memverifikasi Project ini bersama tim Rumah123",https://picture.rumah123.com/r123-images/720x420-crop/customer/1976407/335fede361fddb14195fd42de40849ff.jpg,property_images\property_53.jpg,4.0,4.0,3.0,,,2024-11-07 17:25:33.741461
54,Murah Rumah Ditengah Kota Marva Residence,https://www.rumah123.com/properti/yogyakarta/hos18494524/,885.0,"Rumah123 adalah platform properti terbesar dan tepercaya di Indonesia. Kami berkomitmen untuk menjaga kepercayaan para pencari properti dengan hanya menayangkan iklan yang kredibel dan terpercaya. Oleh karena itu, setiap Project perlu melalui proses verifikasi. Ajak Developer untuk memverifikasi Project ini bersama tim Rumah123",https://picture.rumah123.com/r123-images/720x420-crop/customer/2103055/2024-10-25-16-00-52-91cc3859-40a5-4a6c-8c9c-3e6a66f3c36a-1729846852.jpg,property_images\property_54.jpg,3.0,1.0,,,,2024-11-07 14:25:34.669636
55,Villa di Tengah Kota Jogja Dengan Fasilitas Private Pool,https://www.rumah123.com/properti/yogyakarta/hos18061764/,358.0,"Rumah123 adalah platform properti terbesar dan tepercaya di Indonesia. Kami berkomitmen untuk menjaga kepercayaan para pencari properti dengan hanya menayangkan iklan yang kredibel dan terpercaya. Oleh karena itu, setiap Project perlu melalui proses verifikasi. Ajak Developer untuk memverifikasi Project ini bersama tim Rumah123",https://picture.rumah123.com/r123-images/720x420-crop/customer/2038163/352270c59620a2c315777c1efee4fed5.png,property_images\property_55.jpg,1.0,1.0,1.0,,,2024-11-07 13:25:38.987283
56,Rumah Mezzanine di Dekat Stadion Maguwoharjo Sleman,https://www.rumah123.com/properti/yogyakarta/hos18061003/,205.0,"Rumah123 adalah platform properti terbesar dan tepercaya di Indonesia. Kami berkomitmen untuk menjaga kepercayaan para pencari properti dengan hanya menayangkan iklan yang kredibel dan terpercaya. Oleh karena itu, setiap Project perlu melalui proses verifikasi. Ajak Developer untuk memverifikasi Project ini bersama tim Rumah123",https://picture.rumah123.com/r123-images/720x420-crop/customer/2038163/a03266477ff1133cb70525ef0bddb363.jpg,property_images\property_56.jpg,1.0,1.0,1.0,,,2024-11-07 13:25:42.172764
