Judul,Lokasi,Harga,Kamar,WC,Parkir,Luas_Tanah,Luas_Bangunan,Harga_Normalized,Kamar_Normalized,WC_Normalized,Parkir_Normalized,Luas_Tanah_Normalized,Luas_Bangunan_Normalized,Judul_Clean,Lokasi_Clean,Deskripsi_Clean,Keywords_Clean
Di Jual Harga Rendah Rumah Luas Di Daerah Duwet,"Wonosari, Gunung Kidul",800000000.0,3.0,3.0,1,408.0,205.0,0.0007657925953361729,0.025316455696202535,0.010638297872340424,0.0,0.00011628574751021357,0.00017435912338386613,jual harga rendah rumah luas daerah duwet,wonosari gunung kidul,jual harga rendah rumah luas daerah duwet wonosari gunung kidul rumah luas daerah duwet,rumah full furnished siap huni dekat sekolah
Rumah Murah Full Furnish Di Patuk Dekat Heha Sky View,"Patuk, Gunung Kidul",320000000.0,2.0,1.0,1,70.0,36.0,0.000285295280615437,0.012658227848101266,0.0,0.0,1.9714291346940386e-05,2.991455548252605e-05,rumah murah full furnish patuk dekat heha sky view,patuk gunung kidul,rumah patuk lokasi patuk gunung kidul daerah istimewa yogyakarta rumah murah jual cepat bu,rumah full furnished
Rumah Baru di Playen Gunung Kidul Dekat RSUD Wonosari,"Playen, Gunung Kidul",400000000.0,2.0,1.0,1,80.0,50.0,0.0003653781664022263,0.012658227848101266,0.0,0.0,2.2571435020410005e-05,4.1880377675536474e-05,rumah baru playen gunung kidul dekat rsud wonosari,playen gunung kidul,,rumah dekat fasilitas sehat
Rumah Cantik Full Furnished Hanya 300JTAN Di Patuk,"Patuk, Gunung Kidul",320000000.0,2.0,1.0,1,70.0,36.0,0.000285295280615437,0.012658227848101266,0.0,0.0,1.9714291346940386e-05,2.991455548252605e-05,rumah cantik full furnished 300jtan patuk,patuk gunung kidul,rumah cantik full furnished 300jtan patuk rumah cantik full furnished 300jtan patuk,rumah full furnished dekat sekolah
Rumah Scandinavian 200Jt an di Karangmojo Gunungkidul Dekat Uny,"Karangmojo, Gunung Kidul",280000000.0,2.0,1.0,1,100.0,40.0,0.0002452538377220423,0.012658227848101266,0.0,0.0,2.8285722367349247e-05,3.3333361823386174e-05,rumah scandinavian 200jt an karangmojo gunungkidul dekat uny,karangmojo gunung kidul,promo launching perdana 200juta an sedia kavling murah unit batas 100 m2 101 m2 102 m2 105,rumah dekat sekolah dekat fasilitas sehat dekat tempat wisata
Paviliun Fully Furnished Di Patuk Dekat Wisata Gunung Kidul,"Patuk, Gunung Kidul",425000000.0,2.0,1.0,1,100.0,36.0,0.000390404068210598,0.012658227848101266,0.0,0.0,2.8285722367349247e-05,2.991455548252605e-05,paviliun fully furnished patuk dekat wisata gunung kidul,patuk gunung kidul,huni nyaman modern dekat wisata gunung kidul investasi cerdas fasilitas lengkap dan,rumah full furnished siap huni dekat tempat wisata
Rumah Murah Di Jogja Hanya 8 Menit Dari Heha Sky View,"Patuk, Gunung Kidul",425000000.0,2.0,1.0,1,100.0,36.0,0.000390404068210598,0.012658227848101266,0.0,0.0,2.8285722367349247e-05,2.991455548252605e-05,rumah murah jogja 8 menit heha sky view,patuk gunung kidul,rumah murah jogja 8 menit heha sky view kopilimo pavillion lokasi patuk gunung kidul,rumah full furnished dekat tempat wisata
Rumah Baru 200jtan di Karangmojo Wonosari Dekat Wonosari Kota Kpr,"Karangmojo, Gunung Kidul",280000000.0,2.0,1.0,1,100.0,40.0,0.0002452538377220423,0.012658227848101266,0.0,0.0,2.8285722367349247e-05,3.3333361823386174e-05,rumah baru 200jtan karangmojo wonosari dekat wonosari kota kpr,karangmojo gunung kidul,rumah scandinavian karangmojo wonosari belakang spbu karangmojo dekat wonosari kota lokasi asri,rumah dekat sekolah dekat fasilitas sehat dekat tempat wisata
Rumah Murah Full Furnish Di Patuk Dekat Heha Sky View,"Patuk, Gunung Kidul",320000000.0,2.0,1.0,1,70.0,36.0,0.000285295280615437,0.012658227848101266,0.0,0.0,1.9714291346940386e-05,2.991455548252605e-05,rumah murah full furnish patuk dekat heha sky view,patuk gunung kidul,rumah murah jual cepat bu cluster villa fasum lengkap dekat banyak tempat wisata cocok,rumah full furnished
Dijual Villa Murah Dekat Heha Sky View Wonosari,"Wonosari, Gunung Kidul",425000000.0,2.0,1.0,2,100.0,36.0,0.000390404068210598,0.012658227848101266,0.0,0.05263157894736842,2.8285722367349247e-05,2.991455548252605e-05,jual villa murah dekat heha sky view wonosari,wonosari gunung kidul,jual villa murah dekat heha sky view wonosari lokasi wonosari semoyo patuk gunung kidul yogyakarta,rumah full furnished dekat tempat wisata
Hanya 200 Jtan Rumah Scandinavian di Karangmojo Gunungkidul Jogja,"Karangmojo, Gunung Kidul",280000000.0,2.0,1.0,1,100.0,40.0,0.0002452538377220423,0.012658227848101266,0.0,0.0,2.8285722367349247e-05,3.3333361823386174e-05,200 jtan rumah scandinavian karangmojo gunungkidul jogja,karangmojo gunung kidul,rumah scandinavian karangmojo wonosari belakang spbu karangmojo dekat wonosari kota lokasi asri,rumah dekat fasilitas sehat dekat tempat wisata
Rumah Scandinavian Murah di Karangmojo Dekat Alun alun Wonosari,"Karangmojo, Gunung Kidul",280000000.0,2.0,1.0,1,100.0,40.0,0.0002452538377220423,0.012658227848101266,0.0,0.0,2.8285722367349247e-05,3.3333361823386174e-05,rumah scandinavian murah karangmojo dekat alun alun wonosari,karangmojo gunung kidul,kpr angsur 1 jt an rumah scandinavian karangmojo wonosari belakang spbu karangmojo dekat wonosari,rumah dekat fasilitas sehat dekat tempat wisata
Tanah Dan Bangunan Samping Pom Bensin Di Semin Gunung Kidul,"Semin, Gunung Kidul",375000000000.0,4.0,3.0,2,477.0,300.0,0.37535349086304326,0.0379746835443038,0.010638297872340424,0.05263157894736842,0.00013600003885715398,0.000255555773979294,tanah bangun samping pom bensin min gunung kidul,min gunung kidul,tanah bangun sangat bagus cocok utk buka usaha minimarket klinik showroom restoran,rumah siap huni dekat pusat belanja dekat fasilitas sehat
Rumah Cantik Dekat Destinasi Gunung Kidul,"Wonosari, Gunung Kidul",386000000.0,2.0,1.0,2,70.0,41.0,0.0003513636613895382,0.012658227848101266,0.0,0.05263157894736842,1.9714291346940386e-05,3.4188063408601204e-05,rumah cantik dekat destinasi gunung kidul,wonosari gunung kidul,rumah murah dekat destinasi wisata gunungkidul yogyakarta selling point 1 menit hotel,rumah dekat tempat wisata
Rumah  Milenial minimalis Di Gunung Kidul,"Gendang Sari, Gunung Kidul",386000000.0,1.0,2.0,1,73.0,41.0,0.0003513636613895382,0.0,0.005319148936170213,0.0,2.0571434448981273e-05,3.4188063408601204e-05,rumah milenial minimal gunung kidul,gendang sari gunung kidul,rumah murah dekat destinasi wisata gunung kidul yoyakarta spesifikasi 2 kamar tidur 1 kamar,rumah dekat tempat wisata
Perumahan Murah Mewah di Wonosari Dp 0,"Wonosari, Gunung Kidul",220000000.0,2.0,1.0,1,60.0,39.0,0.00018519167338195032,0.012658227848101266,0.0,0.0,1.6857147673470764e-05,3.2478660238171145e-05,rumah murah mewah wonosari dp 0,wonosari gunung kidul,rumah mewah kepek dp 0 ken punya rumah jogja harga rumah udah mahal hadir,rumah subsidi dp 0 dekat sekolah
Beli Paviliun Gratis Fully Furnished Di Patuk,"Patuk, Gunung Kidul",425000000.0,2.0,1.0,1,100.0,36.0,0.000390404068210598,0.012658227848101266,0.0,0.0,2.8285722367349247e-05,2.991455548252605e-05,beli paviliun gratis fully furnished patuk,patuk gunung kidul,kopilimo pavillion lokasi patuk kabupaten gunung kidul yogyakarta paviliun cantik lengkap,rumah full furnished dekat tempat wisata
Dijual Rumah Di Patuk Jogja,"Patuk, Gunung Kidul",320000000.0,2.0,1.0,1,70.0,36.0,0.000285295280615437,0.012658227848101266,0.0,0.0,1.9714291346940386e-05,2.991455548252605e-05,jual rumah patuk jogja,patuk gunung kidul,jual rumah patuk jogja rumah murah jual cepat bu cluster villa fasum lengkap dekat,rumah
Paviliun Fully Furnished Di Patuk Dekat Wisata Gunung Kidul,"Patuk, Gunung Kidul",425000000.0,2.0,1.0,1,100.0,36.0,0.000390404068210598,0.012658227848101266,0.0,0.0,2.8285722367349247e-05,2.991455548252605e-05,paviliun fully furnished patuk dekat wisata gunung kidul,patuk gunung kidul,paviliun fully furnished patuk dekat wisata gunung kidul lokasi patuk gunung kidul yogyakarta,rumah full furnished siap huni dekat tempat wisata
Rumah 200jt An di Wonosari Dekat Kampus Uny Cab Gunung Kidul Kpr,"Semanu, Gunung Kidul",280000000.0,2.0,1.0,1,100.0,40.0,0.0002452538377220423,0.012658227848101266,0.0,0.0,2.8285722367349247e-05,3.3333361823386174e-05,rumah 200jt an wonosari dekat kampus uny cab gunung kidul kpr,semanu gunung kidul,promo launching perdana 200juta an spesial booking fee bulan bonus ac kanopi kpr angsur,rumah dekat sekolah dekat fasilitas sehat dekat tempat wisata
Rumah Hanya 200m Ke Alunalun Pemda Dikota Wonosari GK,"Wonosari, Gunung Kidul",1000000000.0,4.0,2.0,1,128.0,180.0,0.0009659998098031464,0.0379746835443038,0.005319148936170213,0.0,3.628572465306419e-05,0.0001529915837534904,rumah 200m alunalun pemda kota wonosari gk,wonosari gunung kidul,rumah 2 lantai lokasi strategis akses 200m kantor pemda gunung kidul 50m jalan utama,rumah dekat fasilitas sehat
Rumah Scandinavia Strategis Dekat Kota Wonosari di Karangmojo SHM,"Karangmojo, Gunung Kidul",285000000.0,2.0,1.0,1,100.0,40.0,0.00025025901808371667,0.012658227848101266,0.0,0.0,2.8285722367349247e-05,3.3333361823386174e-05,rumah scandinavia strategis dekat kota wonosari karangmojo shm,karangmojo gunung kidul,promo launching perdana 200juta an spesial booking fee bulan bonus ac kanopi kpr angsur,rumah dekat fasilitas sehat dekat tempat wisata
"Rumah Murah di Wonosari Kota Karangmojo, Hanya 200 Jutaan","Karangmojo, Gunung Kidul",283000000.0,2.0,1.0,1,103.0,40.0,0.0002482569459390469,0.012658227848101266,0.0,0.0,2.9142865469390134e-05,3.3333361823386174e-05,rumah murah wonosari kota karangmojo 200 juta,karangmojo gunung kidul,rumah murah scandinavian karangmojo dkat wisata goa pindul shm deskripsi promo launching perdana,rumah dekat fasilitas sehat dekat tempat wisata
Rumah Sertifikat Hak Milik Bonus Kitchen Set Wonosari Yogyakarta,"Wonosari, Gunung Kidul",391000000.0,2.0,1.0,1,141.0,40.0,0.0003563688417512125,0.012658227848101266,0.0,0.0,4.00000114285747e-05,3.3333361823386174e-05,rumah sertifikat hak milik bonus kitchen set wonosari yogyakarta,wonosari gunung kidul,jual kavling siap bangun milik sendiri garansi 6 bulan beri 2 opsi fleksibel 1,rumah dekat sekolah dekat fasilitas sehat
Rumah Mewah Murah di Jalan Jogja Wonosari,"Patuk, Gunung Kidul",243000000.0,2.0,1.0,1,60.0,39.0,0.00020821550304565224,0.012658227848101266,0.0,0.0,1.6857147673470764e-05,3.2478660238171145e-05,rumah mewah murah jalan jogja wonosari,patuk gunung kidul,rumah murah pinggir jalan jogja wonosari rumah murah bangun kualitas sedia rumah,rumah dp 0
Perumahan Mewah di Pusat Kota Siyono Regency,"Wonosari, Gunung Kidul",250000000.0,2.0,1.0,1,60.0,39.0,0.00021522275555199634,0.012658227848101266,0.0,0.0,1.6857147673470764e-05,3.2478660238171145e-05,rumah mewah pusat kota siyono regency,wonosari gunung kidul,rumah murah lokasi strategis siyono regency type 39 desain bangun modern dan,rumah
RUMAH SIAP BANGUN LOKASI STRATEGIS DEKAT HEHA SKY VIEW,"Patuk, Gunung Kidul",788000000.0,3.0,3.0,1,190.0,80.0,0.0007537801624681545,0.025316455696202535,0.010638297872340424,0.0,5.400001542857584e-05,6.752142523198738e-05,rumah siap bangun lokasi strategis dekat heha sky view,patuk gunung kidul,rumah jual gunung kidul rumah siap bangun lokasi strategis patuk dekat heha sky view cocok buat,rumah
Jual Rumah di Patuk Jalan Wonosari Bisa Untuk Usaha,"Patuk, Gunung Kidul",35000000000.0,5.0,5.0,6,500.0,685.0,0.03500122626918861,0.05063291139240507,0.02127659574468085,0.2631578947368421,0.0001425714693061341,0.0005846158842870805,jual rumah patuk jalan wonosari untuk usaha,patuk gunung kidul,jual rumah view kota jogja bangun 3 lantai tepi jalan nasional jalan jogja wonosari luas,rumah dekat tempat wisata
RUMAH SUBSIDI WONOSARI GUNUNGKIDUL,"Wonosari, Gunung Kidul",167000000.0,2.0,1.0,1,60.0,30.0,0.00013213676154820238,0.012658227848101266,0.0,0.0,1.6857147673470764e-05,2.4786345971235875e-05,rumah subsidi wonosari gunungkidul,wonosari gunung kidul,kartika kusuma residence jogjakarta dukung 5 guru tinggi negeri ugm uny uin,rumah subsidi dekat sekolah dekat fasilitas sehat
"Villa Siap Huni, Full Furnish Di Patuk, Gunung Kidul","Patuk, Gunung Kidul",475000000.0,2.0,1.0,1,100.0,36.0,0.0004404558718273413,0.012658227848101266,0.0,0.0,2.8285722367349247e-05,2.991455548252605e-05,villa siap huni full furnish patuk gunung kidul,patuk gunung kidul,villa siap huni full furnish patuk gunung kidul harga 475 jt hubung yeny wastu villa minimais,rumah
TANAH BONUS RUMAH DEKAT KAMPUS UNY YANG BARU,"Wonosari, Gunung Kidul",16000000000.0,5.0,2.0,2,1050.0,400.0,0.015981540894826146,0.05063291139240507,0.005319148936170213,0.05263157894736842,0.00029971437134696324,0.00034102593250079697,tanah bonus rumah dekat kampus uny baru,wonosari gunung kidul,rumah jual gunung kidul tanah rumah dekat kampus uny semanu gunungkidul lingkung cocok untuk,rumah dekat sekolah dekat fasilitas sehat dekat tempat wisata
Paviliun Fully Furnished Di Daerah Wisata Gunung Kidul,"Patuk, Gunung Kidul",425000000.0,2.0,1.0,1,100.0,36.0,0.000390404068210598,0.012658227848101266,0.0,0.0,2.8285722367349247e-05,2.991455548252605e-05,paviliun fully furnished daerah wisata gunung kidul,patuk gunung kidul,paviliun fully furnished daerah wisata gunung kidul lokasi patuk gunung kidul yogyakarta hubung,rumah full furnished bebas banjir
Paviliun Cantik Strategis Dekat Heha Sky View Di Gunung Kidul,"Patuk, Gunung Kidul",425000000.0,2.0,1.0,1,100.0,36.0,0.000390404068210598,0.012658227848101266,0.0,0.0,2.8285722367349247e-05,2.991455548252605e-05,paviliun cantik strategis dekat heha sky view gunung kidul,patuk gunung kidul,paviliun cantik strategis dekat heha sky view gunung kidul paviliun cantik lengkap furnish,rumah full furnished
Rumah Siap Huni Di Jogja Dekat Dengan Heha Sky Viev,"Patuk, Gunung Kidul",320000000.0,2.0,1.0,1,70.0,36.0,0.000285295280615437,0.012658227848101266,0.0,0.0,1.9714291346940386e-05,2.991455548252605e-05,rumah siap huni jogja dekat heha sky viev,patuk gunung kidul,rumah siap huni jogja dekat heha sky viev rumah patuk lokasi patuk gunung kidul yogyakarta,rumah full furnished siap huni
"Rumah Murah Siap Huni Dalam Cluster Di Patuk, Gunung Kidul","Patuk, Gunung Kidul",320000000.0,2.0,1.0,1,70.0,36.0,0.000285295280615437,0.012658227848101266,0.0,0.0,1.9714291346940386e-05,2.991455548252605e-05,rumah murah siap huni cluster patuk gunung kidul,patuk gunung kidul,rumah murah siap huni cluster patuk gunung kidul rumah murah cluster villa patuk,rumah full furnished siap huni
Dijual Penginapan Sederhana di Pantai Gunungkidul Yogyakarta,"Tepus, Gunung Kidul",325000000.0,2.0,1.0,1,260.0,60.0,0.0002903004609771113,0.012658227848101266,0.0,0.0,7.400002114286319e-05,5.042739352768678e-05,jual inap sederhana pantai gunungkidul yogyakarta,tepus gunung kidul,jual inap sederhana pantai gunungkidul speck kamar tidur 2 kamar mandi 1 dapur gudang,rumah
Rumah Murah Scandinavia di Karangmojo Wonosari Bisa KPR SHM,"Karangmojo, Gunung Kidul",280000000.0,2.0,1.0,1,100.0,40.0,0.0002452538377220423,0.012658227848101266,0.0,0.0,2.8285722367349247e-05,3.3333361823386174e-05,rumah murah scandinavia karangmojo wonosari kpr shm,karangmojo gunung kidul,promo launching perdana 200juta an spesial booking fee bulan bonus ac kanopi kpr angsur,rumah dekat fasilitas sehat dekat tempat wisata
rumah murah Yogaykarta,"Playen, Gunung Kidul",880000000.0,2.0,2.0,1,150.0,113.0,0.0008458754811229623,0.012658227848101266,0.005319148936170213,0.0,4.257144073469735e-05,9.572657754408337e-05,rumah murah yogaykarta,playen gunung kidul,selamat datang rumah tawan letak lingkung damai perum gading regency kartasura,rumah dekat sekolah
Rumah Dan Ruko Di Pasar Playen . Ar,"Wonosari, Gunung Kidul",35000000000.0,8.0,3.0,2,502.0,90.0,0.03500122626918861,0.08860759493670886,0.010638297872340424,0.05263157894736842,0.00014314289804082803,7.606844108413768e-05,rumah ruko pasar playen ar,wonosari gunung kidul,spek bangun 1 lantai lebar depan 12m panjang 42m luas tanah 502m luas bangun 90m area parkir,rumah
Rumah Murah Scandinavian di Karangmojo Dkat Wisata Goa Pindul SHM,"Karangmojo, Gunung Kidul",280000000.0,2.0,1.0,1,100.0,40.0,0.0002452538377220423,0.012658227848101266,0.0,0.0,2.8285722367349247e-05,3.3333361823386174e-05,rumah murah scandinavian karangmojo dkat wisata goa pindul shm,karangmojo gunung kidul,promo launching perdana 200juta an sedia kavling murah unit batas 100 m2 280jt 101 m2,rumah dekat fasilitas sehat dekat tempat wisata
Rumah SHM Ada Kolam Renangnya di Wonosari raya dijamin pada betah karena smua ada disini dekat banyak wisata alam dan wisata kuliner,"Playen, Gunung Kidul",579000000.0,2.0,1.0,1,182.0,100.0,0.0005445636233501675,0.012658227848101266,0.0,0.0,5.171430048980014e-05,8.461545693628798e-05,rumah shm kolam renang wonosari raya jamin betah smua sini dekat banyak wisata alam wisata kuliner,playen gunung kidul,spesifikasi luas tanah 182 m luas bangun 100 m 2 kamar tidur 1 kamar mandi 1,rumah dekat tempat wisata
Perumahan Subsidi 3 Juta All In di Kota Wonosari Gunungkidul,"Wonosari, Gunung Kidul",166000000.0,2.0,1.0,1,63.0,36.0,0.00013113572547586753,0.012658227848101266,0.0,0.0,1.771429077551165e-05,2.991455548252605e-05,rumah subsidi 3 juta all in kota wonosari gunungkidul,wonosari gunung kidul,rumah subsidi wonosari 3 juta all in ken punya rumah jogja harga rumah udah mahal,rumah subsidi dekat sekolah dekat fasilitas sehat
Rumah Murah di Pinggir Jalan Jogja Wonosari,"Patuk, Gunung Kidul",195000000.0,2.0,1.0,1,60.0,39.0,0.00016016577157357866,0.012658227848101266,0.0,0.0,1.6857147673470764e-05,3.2478660238171145e-05,rumah murah pinggir jalan jogja wonosari,patuk gunung kidul,rumah murah pinggir jalan jogja wonosari rumah murah bangun kualitas sedia rumah,rumah dp 0
Cluster Baru Unfurnished Dekat Kantor Dishub Dan Sekolah Piyaman,"Wonosari, Gunung Kidul",310000000.0,2.0,1.0,1,72.0,45.0,0.0002752849198920883,0.012658227848101266,0.0,0.0,2.028572008163431e-05,3.760686974946133e-05,cluster baru unfurnished dekat kantor dishub sekolah piyaman,wonosari gunung kidul,cluster piyaman kota wonosari gunung kidul siap di balik nama atas nama sendiri untuk,rumah
Cluster Baru Kawasan Dishub Wonosari Dan Sekolah Lingkar Utara,"Wonosari, Gunung Kidul",310000000.0,2.0,1.0,1,72.0,45.0,0.0002752849198920883,0.012658227848101266,0.0,0.0,2.028572008163431e-05,3.760686974946133e-05,cluster baru kawasan dishub wonosari sekolah lingkar utara,wonosari gunung kidul,cluster piyaman kota wonosari gunung kidul siap di balik nama atas nama sendiri untuk,rumah
Cluster Siap Bangun Area Sekolah Dan Perkantoran Piyaman,"Wonosari, Gunung Kidul",305000000.0,2.0,1.0,1,66.0,45.0,0.00027027973953041396,0.012658227848101266,0.0,0.0,1.8571433877552537e-05,3.760686974946133e-05,cluster siap bangun area sekolah kantor piyaman,wonosari gunung kidul,cluster piyaman kota wonosari gunung kidul siap di balik nama atas nama sendiri untuk,rumah
Rumah 1 Lantai Siap Bangun Dekat Dishub Wonosari Area Piyaman,"Wonosari, Gunung Kidul",315000000.0,2.0,1.0,1,45.0,75.0,0.00028029010025376264,0.012658227848101266,0.0,0.0,1.2571432163266333e-05,6.324791730591223e-05,rumah 1 lantai siap bangun dekat dishub wonosari area piyaman,wonosari gunung kidul,cluster piyaman kota wonosari gunung kidul siap di balik nama atas nama sendiri untuk,rumah
Kavling Siap Bangun SHM Dekat Dishub Gunungkidul Area Piyaman,"Wonosari, Gunung Kidul",312000000.0,2.0,1.0,1,45.0,72.0,0.00027728699203675804,0.012658227848101266,0.0,0.0,1.2571432163266333e-05,6.068381255026713e-05,kavling siap bangun shm dekat dishub gunungkidul area piyaman,wonosari gunung kidul,cluster piyaman kota wonosari gunung kidul siap di balik nama atas nama sendiri untuk,rumah
Rumah Baru Harga Terjangkau Siap Kpr 500 Meter Ke Jalan Raya Wonosari,"Wonosari, Gunung Kidul",275000000.0,2.0,1.0,1,92.0,45.0,0.000240248657360368,0.012658227848101266,0.0,0.0,2.6000007428573553e-05,3.760686974946133e-05,rumah baru harga jangkau siap kpr 500 meter jalan raya wonosari,wonosari gunung kidul,rumah baru harga jangkau siap kpr 500 meter jalan raya wonosari rumah idam harga cocok di,rumah
Rumah Scandinavian Hanya 200Jutaan di Karangmojo Gunungkidul SHM,"Karangmojo, Gunung Kidul",280000000.0,2.0,1.0,1,100.0,40.0,0.0002452538377220423,0.012658227848101266,0.0,0.0,2.8285722367349247e-05,3.3333361823386174e-05,rumah scandinavian 200jutaan karangmojo gunungkidul shm,karangmojo gunung kidul,rumah scandinavian 200jutaan karangmojo wonosari gunungkidul kpr shm promo launching,rumah dekat fasilitas sehat dekat tempat wisata
Rumah Murah Di Jogja Hanya 9 Menit Dari Bukit Bintang,"Patuk, Gunung Kidul",425000000.0,2.0,1.0,1,100.0,36.0,0.000390404068210598,0.012658227848101266,0.0,0.0,2.8285722367349247e-05,2.991455548252605e-05,rumah murah jogja 9 menit bukit bintang,patuk gunung kidul,rumah murah jogja 9 menit bukit bintang kopilimo pavillion lokasi patuk gunung kidul,rumah full furnished dekat tempat wisata
Rumah Murah Full Furnish Di Patuk Dekat Heha Sky View,"Patuk, Gunung Kidul",320000000.0,2.0,1.0,1,70.0,36.0,0.000285295280615437,0.012658227848101266,0.0,0.0,1.9714291346940386e-05,2.991455548252605e-05,rumah murah full furnish patuk dekat heha sky view,patuk gunung kidul,rumah murah full furnish patuk dekat heha sky view rumah patuk lokasi patuk kabupaten gunung,rumah full furnished
Rumah Murah Dekat Heha Sky View Patuk Gunungkidul Yogya,"Patuk, Gunung Kidul",320000000.0,2.0,1.0,1,36.0,70.0,0.000285295280615437,0.012658227848101266,0.0,0.0,1.0000002857143674e-05,5.897440937983708e-05,rumah murah dekat heha sky view patuk gunungkidul yogya,patuk gunung kidul,rumah murah dekat heha sky view patuk gunungkidul yogya rumah cocok jadi rumah singgah,rumah
Rumah Scandinavian di Wonosari Dekat Kampus Uny Cab Gunung Kidul,"Karangmojo, Gunung Kidul",280000000.0,2.0,1.0,1,100.0,40.0,0.0002452538377220423,0.012658227848101266,0.0,0.0,2.8285722367349247e-05,3.3333361823386174e-05,rumah scandinavian wonosari dekat kampus uny cab gunung kidul,karangmojo gunung kidul,promo launching perdana 200juta an kpr angsur mulai 1 jt an rumah scandinavian karangmojo wonosari,rumah dekat sekolah dekat fasilitas sehat dekat tempat wisata
Villa Siap Huni Dekat Heha Sky View Di Gunung Kidul,"Patuk, Gunung Kidul",475000000.0,2.0,1.0,1,100.0,36.0,0.0004404558718273413,0.012658227848101266,0.0,0.0,2.8285722367349247e-05,2.991455548252605e-05,villa siap huni dekat heha sky view gunung kidul,patuk gunung kidul,villa siap huni dekat heha sky view gunung kidul lokasi patuk gunung kidul villa murah siap,rumah full furnished siap huni dekat tempat wisata
Villa Siap Huni Dekat Heha Sky View Di Gunung Kidul,"Patuk, Gunung Kidul",475000000.0,2.0,1.0,2,100.0,36.0,0.0004404558718273413,0.012658227848101266,0.0,0.05263157894736842,2.8285722367349247e-05,2.991455548252605e-05,villa siap huni dekat heha sky view gunung kidul,patuk gunung kidul,villa siap huni dekat heha sky view gunung kidul lokasi patuk gunung kidul villa murah siap,rumah full furnished siap huni dekat tempat wisata
Rumah Murah Full Furnish Di Patuk Dekat Heha Sky View,"Patuk, Gunung Kidul",320000000.0,2.0,1.0,1,70.0,36.0,0.000285295280615437,0.012658227848101266,0.0,0.0,1.9714291346940386e-05,2.991455548252605e-05,rumah murah full furnish patuk dekat heha sky view,patuk gunung kidul,rumah murah full furnish patuk dekat heha sky view lokasi patuk gunung kidul yogyakarta hubung,rumah full furnished bebas banjir
Rumah Baru Murah 200 Jutaan di Karangmojo Dekat Wonosari Kota SHM,"Karangmojo, Gunung Kidul",280000000.0,2.0,1.0,1,100.0,80.0,0.0002452538377220423,0.012658227848101266,0.0,0.0,2.8285722367349247e-05,6.752142523198738e-05,rumah baru murah 200 juta karangmojo dekat wonosari kota shm,karangmojo gunung kidul,promo launching perdana 200juta an spesial booking fee bulan bonus ac kanopi kpr angsur,rumah dekat fasilitas sehat dekat tempat wisata
RUMAH MURAH DP 0% DI PATUK DEKAT HEHA  SKY VIEW JOGJA,"Patuk, Gunung Kidul",402000000.0,2.0,1.0,1,90.0,43.0,0.00036738023854689605,0.012658227848101266,0.0,0.0,2.5428578693879628e-05,3.589746657903126e-05,rumah murah dp 0 patuk dekat heha sky view jogja,patuk gunung kidul,rumah murah dp 0 patuk dekat heha sky view jogja lokasi waduk salam kec patuk kabupaten,rumah dp 0 dekat tempat wisata
Rumah Scandinavian Murah diKarangmojo Dekat Wonosari Kota SHM KPR,"Karangmojo, Gunung Kidul",285000000.0,2.0,1.0,1,100.0,40.0,0.00025025901808371667,0.012658227848101266,0.0,0.0,2.8285722367349247e-05,3.3333361823386174e-05,rumah scandinavian murah dikarangmojo dekat wonosari kota shm kpr,karangmojo gunung kidul,promo launching perdana 200juta an spesial booking fee bulan bonus ac kanopi kpr angsur,rumah dekat fasilitas sehat dekat tempat wisata
"Rumah Murah di Wonosari Kota, Desain Modern Dekat Rs Panti Rahayu","Karangmojo, Gunung Kidul",281000000.0,2.0,1.0,1,101.0,40.0,0.0002462548737943772,0.012658227848101266,0.0,0.0,2.857143673469621e-05,3.3333361823386174e-05,rumah murah wonosari kota desain modern dekat rs panti rahayu,karangmojo gunung kidul,rumah scandinavian karangmojo wonosari strategis kpr shm deskripsi sedia lt 100 m2,rumah dekat sekolah dekat fasilitas sehat dekat tempat wisata
"Rumah Dijual Jln Jogja Wonosari Playen Jogja,LOKASI STRATEGIS!!","Playen, Gunung Kidul",670000000.0,2.0,1.0,1,182.0,90.0,0.0006356579059326403,0.012658227848101266,0.0,0.0,5.171430048980014e-05,7.606844108413768e-05,rumah jual jln jogja wonosari playen jogja lokasi strategis,playen gunung kidul,jual rumah modern privat pool dalam rumah puri langgeng gunungkidul strategis hanya,rumah
Villa dan Resto Eksotis View Pantai di Gunung Kidul Yoyakarta,"Tanjungsari, Gunung Kidul",20000000000.0,7.0,8.0,16,10744.0,2000.0,0.01998568518416561,0.0759493670886076,0.03723404255319149,0.7894736842105263,0.003069429448408414,0.0017085484688448452,villa resto eksotis view pantai gunung kidul yoyakarta,tanjungsari gunung kidul,dekade akhir nama gunung kidul populer kalang wisatawan domestik maupun manca,rumah
Rumah Bagus Di Semanu Gunungkidul Yogyakarta,"Semanu, Gunung Kidul",922000000.0,3.0,2.0,1,193.0,1065.0,0.0008879189961610266,0.025316455696202535,0.005319148936170213,0.0,5.485715853061672e-05,0.000909402486668792,rumah bagus semanu gunungkidul yogyakarta,semanu gunung kidul,rumah bagus semanu gunungkidul yogyakarta aset lelang powered by bri,rumah
