Judul,Lokasi,Harga,Kamar,WC,Parkir,Luas_Tanah,Luas_Bangunan,Harga_Normalized,Kamar_Normalized,WC_Normalized,Parkir_Normalized,Luas_Tanah_Normalized,Luas_Bangunan_Normalized,Judul_Clean,Lokasi_Clean,Deskripsi_Clean,Keywords_Clean
Rumah Dijual Perumahan Bumi Kalirandu Selaras Bantul,"Kasihan, Bantul",303000000.0,2.0,1.0,1,83.0,45.0,0.00026827766738574425,0.012658227848101266,0.0,0.0,2.3428578122450892e-05,3.760686974946133e-05,rumah jual rumah bumi kalirandu selaras bantul,kasihan bantul,jual rumah murah daerah kasihan bantul aset lelang bank harga lebih murah 40 harga pasar,rumah dekat pusat belanja dekat landmark
Rumah Dijual Perum Mini Cluster Asri 1 Karangjati No.3 Bantul,"Kasihan, Bantul",317000000.0,2.0,1.0,1,88.0,45.0,0.00028229217239843235,0.012658227848101266,0.0,0.0,2.4857149959185704e-05,3.760686974946133e-05,rumah jual perum mini cluster asri 1 karangjati no 3 bantul,kasihan bantul,jual rumah murah daerah bantul aset lelang bank harga lebih murah 40 harga pasar proses,rumah dekat sekolah
TANAH LUAS !! Jual Rumah di Perum Nogotirto Godean Dalam Rngrd,"Godean, Sleman",1000000000.0,4.0,2.0,1,161.0,161.0,0.0009659998098031464,0.0379746835443038,0.005319148936170213,0.0,4.5714298775513935e-05,0.00013675225363440481,tanah luas jual rumah perum nogotirto godean rngrd,godean sleman,jual rumah perum nogotirto godean ring road spesifikasi luas tanah 161m lebar,rumah
Jual Rumah Di Wirokerten Jalan Imogiri Timur,"Banguntapan, Bantul",155000000000.0,5.0,4.0,1,215.0,250.0,0.1551255549493726,0.05063291139240507,0.015957446808510637,0.0,6.114287461224988e-05,0.0002128206947185425,jual rumah wirokerten jalan imogiri timur,banguntapan bantul,jual rumah full furnish lokasi wirokerten banguntapan bantul yogyakarta harga 1 550 milyar,rumah full furnished
KOSAN EXCLUSIF DEKAT BANYAK KAMPUS DI SETURAN,"Seturan, Yogyakarta",63000000000.0,21.0,21.0,3,600.0,650.0,0.06303023629456488,0.2531645569620253,0.10638297872340426,0.10526315789473684,0.0001711429060408303,0.0005547013288045545,kosan exclusif dekat banyak kampus tur,tur yogyakarta,kosan eklusif super murah tur lokasi sangat strategis dekat banyak kampus kampus,rumah dekat sekolah
Rumah Jogja Dijual Dekat Jogja Expo Center,"Kotagede, Yogyakarta",325000000000.0,5.0,5.0,1,410.0,400.0,0.32530168724629993,0.05063291139240507,0.02127659574468085,0.0,0.0001168571762449075,0.00034102593250079697,rumah jogja jual dekat jogja expo center,kotagede yogyakarta,rumah murah rejowinangun kotagede yogyakarta shm lt 410m lb 400m ld 16m 5 1 kt 5 1 km 1300w air,rumah
Jual Rumah di Prambanan Sleman,"Prambanan, Sleman",14000000000.0,2.0,2.0,2,579.0,100.0,0.013979468750156411,0.012658227848101266,0.005319148936170213,0.05263157894736842,0.0001651429043265441,8.461545693628798e-05,jual rumah prambanan sleman,prambanan sleman,jual rumah lokasi madurejo prambanan sleman yogyakarta harga 1 4 milyar nego luas tanah 579 m,rumah
Rumah Mewah Dijual Jakal Ngaglik Sleman Jogja.SUPER STRATEGIS!!!,"Ngaglik, Sleman",285000000000.0,4.0,3.0,1,190.0,235.0,0.28526024435290526,0.0379746835443038,0.010638297872340424,0.0,5.400001542857584e-05,0.00020000017094031703,rumah mewah jual jakal ngaglik sleman jogja super strategis,ngaglik sleman,rumah megah luas jalan kaliurang jogja ngaglik sleman yogyakarta wdi lahan bangun luas,rumah dekat tempat wisata dekat landmark
Rumah Siap Huni Belakang Hotel Hyatt Palagan,"Mlati, Sleman",185000000000.0,3.0,2.0,1,140.0,100.0,0.1851566371194186,0.025316455696202535,0.005319148936170213,0.0,3.9714297061227735e-05,8.461545693628798e-05,rumah siap huni belakang hotel hyatt palagan,mlati sleman,rumah siap huni lokasi jalan palagan belakang hotel hyatt lokasi strategis nyaman dalam,rumah full furnished siap huni dekat sekolah
Rumah Siap Huni Perumahan Condongcatur,"Depok, Sleman",147000000000.0,3.0,2.0,1,146.0,120.0,0.14711726637069367,0.025316455696202535,0.005319148936170213,0.0,4.142858326530951e-05,0.00010170948864058859,rumah siap huni rumah condongcatur,depok sleman,jual rumah siap huni dala kawasan rumah condongcatur yogyakarta ikut spesifikasi bangun,rumah siap huni dekat sekolah
